id_cuota,id_prestamo,nro_cuota,fecha_vencimiento,monto_cuota,estado_pago
1067,113,1,2025-08-14,"72000,00",pagado
1068,113,2,2025-09-14,"72000,00",pagado
1069,113,3,2025-10-14,"72000,00",pagado
1070,113,4,2025-11-14,"72000,00",pagado
1071,113,5,2025-12-14,"72000,00",pagado
1072,113,6,2026-01-14,"72000,00",pagado
1073,114,1,2025-09-22,"42800,00",pagado
1074,114,2,2025-10-22,"42800,00",pagado
1075,114,3,2025-11-22,"42800,00",pagado
1076,114,4,2025-12-22,"42800,00",pagado
1077,114,5,2026-01-22,"42800,00",pagado
1078,114,6,2026-02-22,"42800,00",pagado
1079,114,7,2026-03-22,"42800,00",pagado
1080,114,8,2025-04-22,"42800,00",pendiente
1081,114,9,2025-05-22,"42800,00",pendiente
1082,114,10,2025-06-22,"42800,00",pendiente
1083,115,1,2025-10-01,"126000,00",pagado
1084,115,2,2025-11-01,"126000,00",pagado
1085,115,3,2025-12-01,"126000,00",pagado
1086,116,1,2025-10-23,"33000,00",pagado
1087,116,2,2025-11-23,"33000,00",pagado
1088,116,3,2025-12-23,"33000,00",pagado
1089,116,4,2026-01-23,"33000,00",pagado
1090,116,5,2026-02-23,"33000,00",mora
1091,116,6,2026-03-23,"33000,00",pendiente
1092,116,7,2026-04-23,"33000,00",pendiente
1093,116,8,2026-05-23,"33000,00",pendiente
1094,116,9,2026-06-23,"33000,00",pendiente
1095,116,10,2026-07-23,"33000,00",pendiente
1096,116,11,2026-08-23,"33000,00",pendiente
1097,116,12,2026-09-23,"33000,00",pendiente
1098,116,13,2026-10-23,"33000,00",pendiente
1099,116,14,2026-11-23,"33000,00",pendiente
1100,116,15,2026-12-23,"33000,00",pendiente
1101,116,16,2027-01-23,"33000,00",pendiente
1102,116,17,2027-02-23,"33000,00",pendiente
1103,116,18,2027-03-23,"33000,00",pendiente
1104,117,1,2025-10-23,"44583,33",pagado
1105,117,2,2025-11-23,"44583,33",pagado
1106,117,3,2025-12-23,"44583,33",pagado
1107,117,4,2026-01-23,"44583,33",pagado
1108,117,5,2026-02-23,"44583,33",pagado
1109,117,6,2026-03-23,"44583,33",pendiente
1110,117,7,2026-04-23,"44583,33",pendiente
1111,117,8,2026-05-23,"44583,33",pendiente
1112,117,9,2026-06-23,"44583,33",pendiente
1113,117,10,2026-07-23,"44583,33",pendiente
1114,117,11,2026-08-23,"44583,33",pendiente
1115,117,12,2026-09-23,"44583,33",pendiente
1116,118,1,2025-10-27,"35666,67",pagado
1117,118,2,2025-11-27,"35666,67",pagado
1118,118,3,2025-12-27,"35666,67",pagado
1119,118,4,2026-01-27,"35666,67",pagado
1120,118,5,2026-02-27,"35666,67",pagado
1121,118,6,2026-03-27,"35666,67",pagado
1122,118,7,2026-04-27,"35666,67",pendiente
1123,118,8,2026-05-27,"35666,67",pendiente
1124,118,9,2026-06-27,"35666,67",pendiente
1125,118,10,2026-07-27,"35666,67",pendiente
1126,118,11,2026-08-27,"35666,67",pendiente
1127,118,12,2026-09-27,"35666,67",pendiente
1128,118,13,2026-10-27,"35666,67",pendiente
1129,118,14,2026-11-27,"35666,67",pendiente
1130,118,15,2026-12-27,"35666,67",pendiente
1131,118,16,2027-01-27,"35666,67",pendiente
1132,118,17,2027-02-27,"35666,67",pendiente
1133,118,18,2027-03-27,"35666,67",pendiente
1134,119,1,2025-11-06,"63466,67",pagado
1135,119,2,2025-12-06,"63466,67",pagado
1136,119,3,2026-01-06,"63466,67",pagado
1137,120,1,2025-11-25,"63000,00",pagado
1138,120,2,2025-12-25,"63000,00",pagado
1139,120,3,2026-01-25,"63000,00",pagado
1140,120,4,2026-02-25,"63000,00",pagado
1141,120,5,2026-03-25,"63000,00",pendiente
1142,120,6,2026-04-25,"63000,00",pendiente
1143,121,1,2025-12-14,"28500,00",pagado
1144,121,2,2026-01-14,"28500,00",pagado
1145,121,3,2026-02-14,"28500,00",pagado
1146,121,4,2026-03-14,"28500,00",mora
1147,121,5,2026-04-14,"28500,00",pendiente
1148,121,6,2026-05-14,"28500,00",pendiente
1149,122,1,2026-01-01,"32666,67",pagado
1150,122,2,2026-02-01,"32666,67",mora
1151,122,3,2026-03-01,"32666,67",mora
1152,122,4,2026-04-01,"32666,67",pendiente
1153,122,5,2026-05-01,"32666,67",pendiente
1154,122,6,2026-06-01,"32666,67",pendiente
1155,122,7,2026-07-01,"32666,67",pendiente
1156,122,8,2026-08-01,"32666,67",pendiente
1157,122,9,2026-09-01,"32666,67",pendiente
1158,122,10,2026-10-01,"32666,67",pendiente
1159,122,11,2026-11-01,"32666,67",pendiente
1160,122,12,2026-12-01,"32666,67",pendiente
1161,123,1,2026-01-21,"37333,33",pagado
1162,123,2,2026-02-21,"37333,33",mora
1163,123,3,2026-03-21,"37333,33",pendiente
1164,123,4,2026-04-21,"37333,33",pendiente
1165,123,5,2026-05-21,"37333,33",pendiente
1166,123,6,2026-06-21,"37333,33",pendiente
1167,124,1,2026-01-30,"54500,00",pagado
1168,124,2,2026-03-01,"54500,00",mora
1169,124,3,2026-03-30,"54500,00",pendiente
1170,125,1,2026-02-14,"95000,00",mora
1171,125,2,2026-03-14,"95000,00",mora
1172,125,3,2026-04-14,"95000,00",pendiente
1173,126,1,2026-02-01,"76300,00",pagado
1174,126,2,2026-03-01,"76300,00",pagado
1175,126,3,2026-04-01,"76300,00",pendiente
1176,126,4,2026-05-01,"76300,00",pendiente
1177,126,5,2026-06-01,"76300,00",pendiente
1178,126,6,2026-07-01,"76300,00",pendiente
1179,126,7,2026-08-01,"76300,00",pendiente
1180,126,8,2026-09-01,"76300,00",pendiente
1181,126,9,2026-10-01,"76300,00",pendiente
1182,126,10,2026-11-01,"76300,00",pendiente
1183,127,1,2026-03-21,"69550,00",pagado
1184,127,2,2026-04-21,"69550,00",pendiente
1185,127,3,2026-05-21,"69550,00",pendiente
1186,127,1,2026-06-21,"69550,00",pendiente
1187,127,2,2026-07-21,"69550,00",pendiente
1188,127,3,2026-08-21,"69550,00",pendiente
1189,127,4,2026-09-21,"69550,00",pendiente
1190,127,5,2026-10-21,"69550,00",pendiente
1191,127,6,2026-11-21,"69550,00",pendiente
1192,127,7,2026-12-21,"69550,00",pendiente
1193,127,8,2027-01-21,"69550,00",pendiente
1194,127,9,2027-02-21,"69550,00",pendiente
1195,127,10,2027-03-21,"69550,00",pendiente
1196,128,1,2026-03-26,"36333,33",pagado
1197,128,2,2026-04-26,"36333,33",pendiente
1198,128,3,2026-05-26,"36333,33",pendiente
1199,129,1,2026-04-03,"122500,00",pendiente
1200,129,2,2026-05-03,"122500,00",pendiente
1201,129,3,2026-06-03,"122500,00",pendiente
1202,129,4,2026-07-03,"122500,00",pendiente
1203,129,5,2026-08-03,"122500,00",pendiente
1204,129,6,2026-09-03,"122500,00",pendiente
1205,130,1,2026-04-21,"163500,00",pendiente
1206,130,2,2026-05-21,"163500,00",pendiente
1207,130,3,2026-06-21,"163500,00",pendiente
